Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
565,0,0,0,0,104,0,0,0,0,0
566,0,0,0,0,106,0,0,0,0,0
567,0,0,0,0,102,0,0,0,0,0
568,0,0,0,0,107,0,0,0,0,0
569,0,0,0,0,105,0,0,0,0,0
570,0,0,0,0,116,1,0,0,0,0
571,0,0,0,0,101,0,0,0,0,0
572,0,0,0,0,114,0,0,0,0,0
573,0,0,0,0,102,0,0,0,0,0
574,0,0,0,0,109,0,0,0,0,0
575,0,0,0,0,95,0,0,0,0,0
576,0,0,0,0,99,0,0,0,0,0
577,0,0,0,0,98,0,0,0,0,0
578,0,0,0,0,123,0,0,0,0,0
579,0,0,0,0,103,0,0,0,0,0
580,0,0,0,0,109,0,0,0,0,0
581,0,0,0,0,117,0,0,0,0,0
582,0,0,0,0,103,0,0,0,0,0
583,0,0,0,0,105,0,0,0,0,0
584,0,0,0,0,98,0,0,0,0,0
585,0,0,0,0,125,0,0,0,0,0
586,0,0,0,0,98,0,0,0,0,0
587,0,0,0,0,118,0,0,0,0,0
588,0,0,0,0,101,0,0,0,0,0
589,0,0,0,0,112,0,0,0,0,0
590,0,0,0,0,92,0,0,0,0,0
591,0,0,0,0,107,0,0,0,0,0
592,0,0,0,0,102,0,0,0,0,0
593,0,0,0,0,118,0,0,0,0,0
594,0,0,0,0,106,0,0,0,0,0
595,0,0,0,0,106,0,0,0,0,0
596,0,0,0,0,105,0,0,0,0,0
597,0,0,0,0,96,0,0,0,0,0
598,0,0,0,0,116,0,0,0,0,0
599,0,0,0,0,119,0,0,0,0,0
600,0,0,0,0,110,0,0,0,0,0
601,0,0,0,0,104,0,0,0,0,0
602,0,0,0,0,98,0,0,0,0,0
603,0,0,0,0,113,0,0,0,0,0
604,0,0,0,0,97,0,0,0,0,0
605,0,0,0,0,105,0,0,0,0,0
606,0,0,0,0,90,0,0,0,0,0
607,0,0,0,0,90,0,0,0,0,0
608,0,0,0,0,99,0,0,0,0,0
609,0,0,0,0,98,0,0,0,0,0
610,0,0,0,0,119,1,0,0,0,0
611,0,0,0,0,103,0,0,0,0,0
